Barrier ID,Site Name,Watershed Name,Structure Status,Model Rank,Actual Habitat Upstream of Structure,Average Habitat Upstream of Structure
195603,Taspai Creek @ Coalmine Road FSR (195603),BOWR,,1,26.57,26.57
195609,Tsus Creek @ Coalmine Road FSR (195609),BOWR,,2,19.49,19.49
c0115f78-8f0c-4790-8484-e2f00cc80266,Spanish Lake Dam,CARR,Priority barrier,3,31.91,31.91
1001501633,Trib to Bowron R @ Unnamed (1001501633),BOWR,,4,20.46,20.46
1003504120,Ahbau Creek @ Naver-Ahbau FSR (1003504120),COTR,,5,21.68,21.68
1003505835,Sovereign Creek @ Unnamed (3505835),COTR,,6,12.96,12.96
1024756855,Hazeltine Creek @ Unnamed (1024756855),QUES,,7,14.52,6.95
1024756856,Hazeltine Creek @ Unnamed (1024756856),QUES,,7,0.13,6.95
1024756857,Hazeltine Creek @ Unnamed (1024756857),QUES,,7,13.02,6.95
1024756858,Hazeltine Creek @ Unnamed (1024756858),QUES,,7,0.13,6.95
1003500107,Whittier Creek @ Blackwater Rd (1003500107),COTR,,8,10.68,10.68
195636,Trib to Haggen Creek @ Bowron-Haggen FSR (195636),BOWR,,9,11.23,11.23
1001500319,Eighteen Mile Creek @ Unnamed (1001500319),BOWR,,10,11.31,11.31
1003500663,Terry Creek @ Unnamed (1003500663),COTR,,11,11.42,11.42
1003502389,Trib to Chiaz Creek @ Unnamed (1003502389),COTR,,12,7.6,7.6
1001501044,Swamp Creek @ Unnamed (1001501044),BOWR,,13,7.21,6.49
1001501045,Swamp Creek @ Unnamed (1001501045),BOWR,,13,10.97,6.49
195608,Swamp Creek @ Coalmine Road FSR (195608),BOWR,,13,1.29,6.49
195605,Trib to Bowron River @ 7400 Spur (195605),BOWR,,14,7.76,7.76
1024759854,Summit Creek @ Unnamed (1024759854),BOWR,,15,10.04,10.04
1003505822,Little Naver Creek @ Naver FSR (1003505822),COTR,,16,6.61,6.61
1003500041,Nelson Kenny Creek @ Olson Rd (1003500041),COTR,,17,4.61,4.61
1001503035,Trib to Bowron R @ Beaver-Bowron FSR (1001503035),BOWR,,18,2.14,5.145
1024755125,Trib to Bowron River @ Unnamed (1024755125),BOWR,,18,8.15,5.145
1003505949,Trib to Fraser River @ 200 Road FSR (1003505949),COTR,,19,6.72,6.72
1003501944,Whites Landing Creek @ Unnamed (1003501944),COTR,,20,4.54,3.536666667
1003503624,Whites Landing Creek @ Unnamed (1003503624),COTR,,20,3.24,3.536666667
1003505780,Whites Landing Creek @ Unnamed (1003505780),COTR,,20,2.83,3.536666667
195687,Trib to Antler Creek @ 2900 Road (195687),BOWR,Priority barrier,56,2.7,1.35
