Barrier ID,Site Name,Watershed Name,Structure Type,Assessment Type Completed,Reason for Exclusion,Reason,Notes,
1017100114,,QUES,None,Informal assessment,No key upstream habitat,No channel present,No modeled habitat,
1017100117,,QUES,Stream crossing - CBS,Informal assessment,No key upstream habitat,No defined channel,"culvert present but no flowing water. Small pool at inlet, no water at outlet. No signs of real channel. No modeled habitat",
1017100401,,QUES,Other,Informal assessment,No key upstream habitat,No channel present,No modeled habitat,
1017100634,,QUES,Other,Informal assessment,No key upstream habitat,No channel present,no modeled habitat,
1017102388,,QUES,None,Informal assessment,No key upstream habitat,No channel,no modeled habitat,
1017102435,,QUES,Other,Informal assessment,No key upstream habitat,No stream,No water seen and no structures suspected but could not access ssite due to private property. Slight wet area to south of road.,
1017104186,,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,,No channel or water. Culvert connects manmade ditch line.,
198863,1502482,BOWR,Stream crossing - OBS,Barrier assessment,Passable,"passable, no modeled habitat",Some braided channel,
198866,17102374,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,,Bottom of culvert disintegrated where it touches ground. Wetland/willow area along ditchline but no water or channel.,
203144,17100007,QUES,Stream crossing - OBS,Barrier assessment,Passable,Open bottom arch culvert,,
203147,17100091,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,CBS scores as passable but undersized based on inlet blockage and culvert condition. Culvert has become indented and mishapen at outlet. Culvert connects two wetland areas with low habitat values.,"No modeled habitat, 11 modeled bstructures downstream, short hab gain.. Small creek crossing with a blocked inlet.  ",
203148,17100103,QUES,Stream crossing - CBS,Barrier assessment,Passable,"Passable, no modeled habitat",Upstream of modeled 15% gradient barrier. Modled as CO rearing only downstream. Sandy substrate confirms this. ,
203150,17100112,QUES,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
203151,17100115,QUES,Stream crossing - CBS,Barrier assessment,Passable,Likely passable due to wetland nature upstream and downstream ,"No modeled habitat, many unassessed crossings downstream.",
203154,17100133,QUES,Stream crossing - CBS,Barrier assessment,Passable,Scores as passable,"No modeled habitat upstream or downstream, very short habitat gain",
