Barrier ID,Site Name,Structure Status,Structure Rank, Average Habitat Upstream of Structre (km) ,Actual Habitat Upstram of Structure (km)
195603,Taspai Creek @ Coalmine Road FSR (195603),Unassessed,1, 26.57 ,26.57
195609,Tsus Creek @ Coalmine Road FSR (195609),Unassessed,2, 19.49 ,19.49
c0115f78-8f0c-4790-8484-e2f00cc80266,Spanish Lake Dam,Priority barrier,3, 31.91 ,31.91
1001501633,Trib to Bowron R @ Unnamed (1001501633),Unassessed,4, 20.46 ,20.46
1003504120,Ahbau Creek @ Naver-Ahbau FSR (1003504120),Unassessed,5, 21.68 ,21.68
1003505835,Sovereign Creek @ Unnamed (3505835),Unassessed,6, 12.96 ,12.96
1024756858,Hazeltine Creek @ Unnamed (1024756858),Unassessed,7, 6.68 ,0.13
1024756856,Hazeltine Creek @ Unnamed (1024756856),Unassessed,7, 6.68 ,0.12
1024756857,Hazeltine Creek @ Unnamed (1024756857),Unassessed,7, 6.68 ,11.94
1024756855,Hazeltine Creek @ Unnamed (1024756855),Unassessed,7, 6.68 ,14.52
1003500107,Whittier Creek @ Blackwater Rd (1003500107),Unassessed,8, 10.68 ,10.68
195636,Trib to Haggen Creek @ Bowron-Haggen FSR (195636),Unassessed,9, 11.23 ,11.23
1001500319,Eighteen Mile Creek @ Unnamed (1001500319),Unassessed,10, 11.31 ,11.31
1003500663,Terry Creek @ Unnamed (1003500663),Unassessed,11, 11.42 ,11.42
1003502389,Trib to Chiaz Creek @ Unnamed (1003502389),Unassessed,12, 7.60 ,7.60
195608,Swamp Creek @ Coalmine Road FSR (195608),Unassessed,13, 6.49 ,1.29
1001501044,Swamp Creek @ Unnamed (1001501044),Unassessed,13, 6.49 ,7.21
1001501045,Swamp Creek @ Unnamed (1001501045),Unassessed,13, 6.49 ,10.97
1024759854,Summit Creek @ Unnamed (1024759854),Unassessed,14, 10.04 ,10.04
195605,Trib to Bowron River @ 7400 Spur (195605),Unassessed,15, 7.76 ,7.76
1003505822,Little Naver Creek @ Naver FSR (1003505822),Unassessed,16, 6.61 ,6.61
1003500041,Nelson Kenny Creek @ Olson Rd (1003500041),Unassessed,17, 4.61 ,4.61
1003505949,Trib to Fraser River @ 200 Road FSR (1003505949),Unassessed,18, 6.72 ,6.72
1001503035,Trib to Bowron R @ Beaver-Bowron FSR (1001503035),Unassessed,19, 5.15 ,2.14
1024755125,Trib to Bowron River @ Unnamed (1024755125),Unassessed,19, 5.15 ,8.15
1003505780,Whites Landing Creek @ Unnamed (1003505780),Unassessed,20, 3.54 ,2.83
1003503624,Whites Landing Creek @ Unnamed (1003503624),Unassessed,20, 3.54 ,3.24
1003501944,Whites Landing Creek @ Unnamed (1003501944),Unassessed,20, 3.54 ,4.54
1001502651,Pinkerton Cr @ Amend 2 Rd (1001502651),Unassessed,21, 4.28 ,2.09
1001500757,Pinkerton Cr @ unnamed (1001500757),Unassessed,21, 4.28 ,6.46
198868,Barlow Cr @ Railway (198868),Data-deficient barrier,23, 2.11 ,0.33
198864,Barlow Cr @ Railway (198864),Data-deficient barrier,23, 2.11 ,0.28
203153,Barlow Cr @ Ten Mile Lk Rd (203153),Data-deficient barrier,23, 2.11 ,0.70
203145,Barlow Cr @ Ritchie Rd (203145),Data-deficient barrier,23, 2.11 ,12.18
203142,Trib to Antler Cr @ Branch off Pleasant Valley Rd (203142),Data-deficient barrier,44, 3.68 ,3.68
1017100076,Sardine Cr @ Hwy 97 (1017100076),Data-deficient barrier,46, 3.32 ,3.32
195687,Trib to Antler Creek @ 2900 Road (195687),Priority barrier,56, 1.35 ,2.70
203143,Trib to Spanish Cr @ 1300 Rd (203143),Data-deficient barrier,138, 0.83 ,0.17
203149,Trib to Barlow Cr @ Bjornson Rd (203149),Data-deficient barrier,167, 1.08 ,0.21
195686,Trib to Antler Cr @ branch off 2900 Rd (195686),Data-deficient barrier,168, 1.26 ,1.26
1017102103,Trib to Quesnel R @ Unnamed (1017102103),Data-deficient barrier,221, 0.40 ,0.40
1017100100,Trib to Dragon Lk @ Dragon Lk Rd (1017100100),Data-deficient barrier,274, 0.34 ,0.23
198867,Trib to Barlow Cr @ Twin Sevens Rd (198867),Data-deficient barrier,276, 0.16 ,0.00
198869,Trib to Barlow Cr @ Schmidt Rd (198869),Data-deficient barrier,350, 0.04 ,0.07
