Barrier ID,Site Name,Structure Status,Structure Rank, Average Habitat Upstream of Structre (km) ,Actual Habitat Upstram of Structure (km)
195609,Tsus Creek @ Coalmine Road FSR (195609),Unassessed,1, 14.84 ,14.84
1003500107,Whittier Creek @ Blackwater Rd (1003500107),Unassessed,2, 10.68 ,10.68
195636,Trib to Haggen Creek @ Bowron-Haggen FSR (195636),Unassessed,3, 11.21 ,11.21
195603,Taspai Creek @ Coalmine Road FSR (195603),Unassessed,4, 10.53 ,10.53
1001501633,Trib to Bowron R @ Unnamed (1001501633),Unassessed,5, 10.54 ,10.54
1001500319,Eighteen Mile Creek @ Unnamed (1001500319),Unassessed,6, 8.20 ,8.2
1003505835,Sovereign Creek @ Unnamed (3505835),Unassessed,7, 6.79 ,6.79
1003500663,Terry Creek @ Unnamed (1003500663),Unassessed,8, 9.06 ,9.06
1003504120,Ahbau Creek @ Naver-Ahbau FSR (1003504120),Unassessed,9, 8.02 ,8.02
1024756858,Hazeltine Creek @ Unnamed (1024756858),Unassessed,10, 3.50 ,0.13
1024756856,Hazeltine Creek @ Unnamed (1024756856),Unassessed,10, 3.50 ,0.12
1024756857,Hazeltine Creek @ Unnamed (1024756857),Unassessed,10, 3.50 ,10.24
1024759854,Summit Creek @ Unnamed (1024759854),Unassessed,11, 5.03 ,5.03
1003500041,Nelson Kenny Creek @ Olson Rd (1003500041),Unassessed,12, 4.60 ,4.6
1001502714,Trib to Haggen Cr @ CP 388 (1001502714),Unassessed,13, 4.33 ,4.33
1001502651,Pinkerton Cr @ Amend 2 Rd (1001502651),Unassessed,14, 3.28 ,2.1
1001500757,Pinkerton Cr @ unnamed (1001500757),Unassessed,14, 3.28 ,4.45
195608,Swamp Creek @ Coalmine Road FSR (195608),Unassessed,15, 2.62 ,0.77
1001501044,Swamp Creek @ Unnamed (1001501044),Unassessed,15, 2.62 ,3.81
1001501045,Swamp Creek @ Unnamed (1001501045),Unassessed,15, 2.62 ,3.29
c0115f78-8f0c-4790-8484-e2f00cc80266,Spanish Lake Dam,Priority barrier,17, 3.44 ,3.44
203142,Trib to Antler Cr @ Branch off Pleasant Valley Rd (203142),Data-deficient barrier,18, 3.68 ,3.68
198868,Barlow Cr @ Railway (198868),Data-deficient barrier,22, 0.92 ,0.33
198864,Barlow Cr @ Railway (198864),Data-deficient barrier,22, 0.92 ,0.28
1003505780,Whites Landing Creek @ Unnamed (1003505780),Unassessed,30, 1.78 ,1.78
195605,Trib to Bowron River @ 7400 Spur (195605),Unassessed,36, 0.94 ,0.94
1001503035,Trib to Bowron R @ Beaver-Bowron FSR (1001503035),Unassessed,39, 0.86 ,0.86
1024756855,Hazeltine Creek @ Unnamed (1024756855),Unassessed,48, 2.50 ,2.5
1017100076,Sardine Cr @ Hwy 97 (17100076),Data-deficient barrier,59, 0.27 ,0.27
195687,Trib to Antler Creek @ 2900 Road (195687),Priority barrier,62, 0.08 ,0.15
1003502389,Trib to Chiaz Creek @ Unnamed (1003502389),Unassessed,65, 0.02 ,0.02
203143,Trib to Spanish Cr @ 1300 Rd (203143),Data-deficient barrier,67, 0.29 ,0.17
